x	ch1x	ch3x	ch5y	ch7y
+0.0000000e+0	+1.0397179e+0	+1.3449118e+0	-2.2845864e+0	+3.9349277e+0
+0.1000000e+0	-0.1402453e+0	+0.1649479e+0	-0.7113088e+0	+2.3616345e+0
+0.2000000e+0	+1.0397179e+0	-0.6216930e+0	-0.7113088e+0	-2.5548730e+0
+0.3000000e+0	-1.7135249e+0	-0.4250329e+0	-1.1046287e+0	-1.9648948e+0
+0.4000000e+0	+2.4163454e+0	+0.3616084e+0	-1.8912675e+0	-0.9815962e+0
+0.5000000e+0	-1.7135249e+0	-0.3171244e-1	-2.0879271e+0	-0.1949558e+0
+0.6000000e+0	-2.3035033e+0	+0.3616084e+0	+0.8619742e+0	+0.7883465e+0
+0.7000000e+0	+0.4497359e+0	-0.4250329e+0	-0.7113088e+0	-0.1949558e+0
+0.8000000e+0	+0.2530754e+0	+0.7549295e+0	-1.4979483e+0	+0.9850072e+0
+0.9000000e+0	-0.1402453e+0	-0.8183531e+0	-0.3179885e+0	-1.5715756e+0
+1.0000000e+0	+1.6297005e+0	-2.5882897e+0	+0.2719925e+0	-0.1949558e+0
+1.1000000e+0	-0.9268858e+0	-2.5882897e+0	-0.3179885e+0	-2.7515323e+0
+1.2000000e+0	+1.2363787e+0	-1.2116729e+0	+1.2552958e+0	-1.9648948e+0
+1.3000000e+0	+1.4330395e+0	+0.1649479e+0	+3.6152320e+0	+0.1983648e+0
+1.4000000e+0	+2.6130066e+0	+1.5415728e+0	-0.5146487e+0	+0.5916858e+0
+1.5000000e+0	+1.0397179e+0	-0.6216930e+0	-1.3012885e+0	+1.9683120e+0
+1.6000000e+0	-0.7302257e+0	+0.1649479e+0	-1.3012885e+0	+2.9516189e+0
+1.7000000e+0	+2.8096681e+0	+1.1482511e+0	+0.4686530e+0	+0.5916858e+0
+1.8000000e+0	+0.5641502e-1	-1.8016521e+0	+0.2719925e+0	-3.9314859e+0
+1.9000000e+0	-0.3369055e+0	-0.6216930e+0	+0.2719925e+0	+1.5749898e+0
+2.0000000e+0	+0.2530754e+0	-0.3171244e-1	-0.3179885e+0	+3.1482804e+0
+2.1000000e+0	+1.6297005e+0	+2.9182017e+0	-0.1213283e+0	-0.9815962e+0
+2.2000000e+0	-2.3035033e+0	+4.2948346e+0	-2.8745642e+0	-4.3248029e+0
+2.3000000e+0	+0.8430572e+0	-1.2116729e+0	+0.0753321e+0	+1.5749898e+0
+2.4000000e+0	-0.7302257e+0	-0.3171244e-1	-0.5146487e+0	+3.1482804e+0
+2.5000000e+0	+1.4330395e+0	+1.1482511e+0	+0.8619742e+0	-4.5214615e+0
+2.6000000e+0	+2.8096681e+0	+2.3282175e+0	-0.9079688e+0	+0.8851503e+1
+2.7000000e+0	+0.2530754e+0	-2.3916304e+0	-1.6946080e+0	+1.5749898e+0
+2.8000000e+0	+0.4497359e+0	-1.0150130e+0	+2.4352624e+0	-0.9815962e+0
+2.9000000e+0	-0.5335657e+0	-0.6216930e+0	+1.6486176e+0	-0.8061300e+1
+3.0000000e+0	+3.9896388e+0	-0.6216930e+0	-0.5146487e+0	-4.9147782e+0
+3.1000000e+0	+1.0397179e+0	+3.5081868e+0	-3.0712233e+0	+4.5249143e+0
+3.2000000e+0	-1.3202055e+0	-0.6216930e+0	+1.2552958e+0	+5.1149011e+0
+3.3000000e+0	+1.4330395e+0	-1.0150130e+0	+1.2552958e+0	+4.1315899e+0
+3.4000000e+0	-2.1068439e+0	+1.5415728e+0	+0.6653135e+0	-7.8646431e+0
+3.5000000e+0	-0.1402453e+0	+5.8681345e+0	-2.4812458e+0	-2.7515323e+0
+3.6000000e+0	-1.1235456e+0	-6.3248005e+0	-3.6612000e+0	+4.9182386e+0
+3.7000000e+0	+1.4330395e+0	+0.5582689e+0	-0.5146487e+0	+6.0982146e+0
+3.8000000e+0	+0.8430572e+0	+1.7382338e+0	+0.4686530e+0	+5.9015517e+0
+3.9000000e+0	+1.8263617e+0	+3.3115251e+0	+1.8452787e+0	+2.7549572e+0
+4.0000000e+0	+2.6130066e+0	+0.7549295e+0	-1.4979483e+0	-4.1281443e+0
+4.1000000e+0	+2.2196839e+0	+5.0814838e+0	-1.6946080e+0	+3.9349277e+0
+4.2000000e+0	+3.9896388e+0	+1.9348949e+0	+2.2386012e+0	+1.7716509e+0
